datetime,open,close,high,low,volume
20240625,30.7,30.78,30.83,30.29,244086.0
20240626,30.82,30.47,30.88,30.27,279578.0
20240627,30.48,30.63,30.66,30.28,237800.0
20240628,30.5,30.96,31.31,30.49,361694.0
20240701,30.97,30.82,31.09,30.61,267664.0
20240702,30.75,31.06,31.31,30.58,271464.0
20240703,31.11,31.2,31.34,30.91,223592.0
20240705,31.32,32.05,32.34,31.19,391611.0
20240708,32.36,34.82,34.82,32.15,705317.0
20240709,35.05,34.58,35.47,33.72,859713.0
20240710,34.71,34.82,34.97,34.13,471532.0
20240711,34.84,33.41,35.15,33.31,496560.0
20240712,33.36,34.57,35.48,33.28,552814.0
20240715,34.83,34.56,35.23,34.31,359279.0
20240716,34.57,34.7,34.98,33.83,254378.0
20240717,34.5,34.82,37.16,34.0,983247.0
20240718,34.92,35.07,36.3,34.53,752993.0
20240719,34.79,32.96,35.22,32.85,629613.0
20240722,33.0,33.3,33.43,32.76,407115.0
20240723,33.21,32.75,33.29,32.75,253388.0
20240724,32.73,31.88,32.81,31.65,496958.0
20240725,31.59,31.23,31.99,30.95,445456.0
20240726,31.22,31.37,31.67,31.02,327608.0
20240729,31.52,30.75,31.67,30.72,291046.0
20240730,30.8,30.48,31.11,30.0,423713.0
20240731,30.79,30.94,30.95,30.28,503820.0
20240801,30.95,23.56,31.09,23.03,966660.0
20240802,23.28,21.59,23.87,20.42,2689291.0
20240805,20.55,20.35,21.05,19.29,1357088.0
20240806,20.67,19.71,20.67,19.68,970625.0
20240807,19.84,18.88,20.25,18.87,894712.0
20240808,19.01,20.57,20.58,18.83,871688.0
20240809,20.59,19.8,20.69,19.5,696481.0
20240812,19.94,19.36,20.04,19.0,487716.0
20240813,19.59,20.4,20.48,19.35,702806.0
20240814,20.45,19.94,20.65,19.78,513345.0
20240815,20.09,20.75,21.06,19.86,779549.0
20240816,20.81,20.79,20.97,20.4,438862.0
20240819,20.9,21.48,21.86,20.68,607547.0
20240820,21.58,20.9,21.75,20.82,787923.0
20240821,20.99,21.41,21.44,20.96,515589.0
20240822,21.42,20.18,21.54,20.04,735884.0
20240823,20.37,20.65,20.93,20.21,661002.0
20240826,20.7,20.13,20.82,19.95,514323.0
20240827,20.14,19.99,20.26,19.84,405716.0
20240828,20.07,19.39,20.15,19.35,459673.0
20240829,19.74,20.23,20.6,19.51,583151.0
20240830,20.68,22.0,22.12,20.44,1609109.0
20240903,22.0,20.14,22.3,19.99,1044077.0
20240904,20.24,19.45,20.39,19.28,788459.0
20240905,19.61,19.47,19.9,19.1,580642.0
20240906,19.4,18.83,19.74,18.64,779594.0
20240909,19.03,19.12,19.54,18.89,525565.0
20240910,19.1,18.93,19.2,18.51,507631.0
20240911,18.98,19.56,19.7,18.52,634902.0
20240912,19.66,19.37,19.73,19.04,469677.0
20240913,19.45,19.85,19.91,19.33,405806.0
20240916,20.04,22.56,23.3,19.72,1397535.0
20240917,22.38,21.38,22.79,21.24,1850637.0
20240918,21.46,21.0,21.74,20.71,1107911.0
20240919,21.17,21.16,21.69,21.03,913406.0
20240920,21.18,21.99,23.14,20.35,2381962.0
20240923,22.55,22.47,23.16,21.7,1714027.0
20240924,22.55,22.86,23.11,22.28,1076251.0
20240925,22.68,23.9,24.06,22.62,1088676.0
20240926,24.15,23.7,24.48,23.25,882464.0
20240927,23.65,23.83,24.66,23.62,730039.0
20240930,23.9,23.32,23.95,23.09,603825.0
20241001,23.38,22.57,23.72,22.25,705933.0
20241002,22.6,22.47,23.07,22.33,506344.0
20241003,22.35,22.21,22.73,21.65,451286.0
20241004,22.27,22.53,22.91,22.24,460753.0
20241007,22.59,22.35,22.69,22.02,406183.0
20241008,22.3,23.3,23.42,22.04,528418.0
20241009,23.17,23.43,23.48,23.06,396487.0
20241010,23.36,23.24,23.53,22.96,399651.0
20241011,23.3,23.48,23.82,22.98,403273.0
20241014,23.48,23.48,23.77,23.27,324278.0
